dossier	nom	original	url	octets	mode
federations	LOCAL_regles_officielles_belote_contree	.pdf	LOCAL — copie de docs/règles officielles belote contrée.pdf	443012	fetch
federations	badje42_free_fr_index_htm_files_Reglement_20de_20la_20Coinche_doc	.html	http://badje42.free.fr/index_htm_files/Reglement%20de%20la%20Coinche.doc	30208	fetch
federations	coinche_en_ligne_com_federation_francaise_de_coinche	.html	http://www.coinche-en-ligne.com/federation-francaise-de-coinche/	31681	fetch
federations	ffbelote_REGLES-DE-LA-BELOTE-CONTREE	.pdf	https://www.ffbelote.org/wp-content/uploads/2015/11/REGLES-DE-LA-BELOTE-CONTREE.pdf	217644	fetch
federations	ffbelote_org_belote_contree	.html	https://www.ffbelote.org/belote-contree/	133769	fetch
federations	ffbelote_org_reglements_de_la_belote_avec_ou_sans_annonce	.html	https://www.ffbelote.org/reglements-de-la-belote-avec-ou-sans-annonce/	134059	fetch
federations	ffbelote_org_regles_coinche	.html	https://www.ffbelote.org/regles-coinche/	135656	fetch
federations	ffbelote_org_regles_officielle_belote	.html	https://www.ffbelote.org/regles-officielle-belote/	131925	fetch
federations	ffbelote_org_wp_content_uploads_2015_11_REGLES_DE_LA_BELOTE_COINCHEE_pdf	.pdf	https://www.ffbelote.org/wp-content/uploads/2015/11/REGLES-DE-LA-BELOTE-COINCHEE.pdf	218796	fetch
federations	ffbelote_org_wp_content_uploads_2015_11_REGLES_DE_LA_BELOTE_CONTREE_pdf	.pdf	https://www.ffbelote.org/wp-content/uploads/2015/11/REGLES-DE-LA-BELOTE-CONTREE.pdf	217644	fetch
federations	ffbelote_org_wp_content_uploads_2016_01_REGLES_DE_LA_BELOTE_pdf	.pdf	https://www.ffbelote.org/wp-content/uploads/2016/01/REGLES-DE-LA-BELOTE.pdf	218276	fetch
federations	ffbelote_org_wp_content_uploads_2016_01_regles_officielles_de_la_Belote_Contree_27_01_2016_pdf	.pdf	https://www.ffbelote.org/wp-content/uploads/2016/01/regles-officielles-de-la-Belote-Contree-27-01-2016.pdf	178630	fetch
federations	ffbelote_regles-officielles-de-la-Belote-27-01-2016	.pdf	https://www.ffbelote.org/wp-content/uploads/2016/01/regles-officielles-de-la-Belote-27-01-2016.pdf	154757	fetch
federations	ffbelote_regles-officielles-de-la-Belote-Contree-27-01-2016	.pdf	https://www.ffbelote.org/wp-content/uploads/2016/01/regles-officielles-de-la-Belote-Contree-27-01-2016.pdf	178630	fetch
federations	net1901_org_association_FEDERATION_FRANCAISE_DE_COINCHE_804219_html	.html	https://www.net1901.org/association/FEDERATION-FRANCAISE-DE-COINCHE,804219.html	24112	fetch
federations	qgcoinche_com	.html	https://qgcoinche.com/	15951	fetch
